genre,count
International Movies,2752
Dramas,2427
Comedies,1674
International TV Shows,1328
Documentaries,869
Action & Adventure,859
Independent Movies,756
TV Dramas,739
Children & Family Movies,641
Romantic Movies,616
Thrillers,577
TV Comedies,550
Crime TV Shows,459
Kids' TV,433
Docuseries,380
Music & Musicals,375
Romantic TV Shows,364
Horror Movies,357
Stand-Up Comedy,343
Reality TV,244
Sci-Fi & Fantasy,243
British TV Shows,235
Sports Movies,219
Anime Series,172
Spanish-Language TV Shows,168
TV Action & Adventure,160
Korean TV Shows,147
Classic Movies,116
LGBTQ Movies,102
TV Mysteries,95
Science & Nature TV,87
TV Sci-Fi & Fantasy,82
TV Horror,72
Cult Movies,71
Anime Features,71
Teen TV Shows,68
Faith & Spirituality,65
Movies,57
TV Thrillers,56
Stand-Up Comedy & Talk Shows,54
Classic & Cult TV,21
TV Shows,16
